Search Term,Tweet Text,URL
michelle obama,RT @wyffnews4: Michelle Obama surprises a group of women at historic D.C. school https://t.co/xau6ifLCPI https://t.co/Hzb2Am5dDb,http://dlvr.it/NZVpMR
michelle obama,"#sheinspiresme   My mom, my sisters, Maya Angelou, Malala Yousafzai, Michelle Obama, and many more inspire me every day to be a strong woman",
michelle obama,"Kanye disses Michelle Obama in an Interview, but Her Response Absolutely Shuts Him Down

https://t.co/6VltZtlbBd",http://bit.ly/2m0HSVO
michelle obama,"Kanye disses Michelle Obama in an Interview, but Her Response Absolutely Shuts Him Down

https://t.co/x2c6Zcco1N",http://bit.ly/2m0HSVO
michelle obama,"Kanye disses Michelle Obama in an Interview, but Her Response Absolutely Shuts Him Down

https://t.co/f2a1OlTdNK",http://bit.ly/2m0HSVO
michelle obama,"Kanye disses Michelle Obama in an Interview, but Her Response Absolutely Shuts Him Down

https://t.co/rAIcJOVUXL",http://bit.ly/2m0HSVO
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,RT @samesfandiari: We are all Michelle Obama today https://t.co/k8cCYFeTAQ,
michelle obama,"RT @BlckBolex: In a world where Beyonce, Michelle Obama, Viola Davis, Rita Moreno, Judge Sotomayor, Maxine Waters, and Ava DuVernay exist t…",
michelle obama,"""@InStyle: .@MichelleObama surprises group of female students on #InternationalWomensDay: https://t.co/eeaFc2gnZb""",http://instyle.io/rC0AnOn
michelle obama,"RT @PopCrave: Twitter's #SheInspiresMe thread features Malala Yousafzai, Halsey, Lady Gaga, Michelle Obama, &amp; many more strong, smart, &amp; po…",
michelle obama,Michelle Obama Surprised 'Amazing Young Women' At School In Honor Of International Women's Day https://t.co/KkkuS0BP0m,http://fb.me/8yo8gYo5A
michelle obama,"RT @PopCrave: Twitter's #SheInspiresMe thread features Malala Yousafzai, Halsey, Lady Gaga, Michelle Obama, &amp; many more strong, smart, &amp; po…",
michelle obama,RT @TheAffinityMag: The first African American First Lady. We miss you Michelle Obama #InternationalWomensDay https://t.co/A7nU8hRQ4F,
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,"RT @TheRoot: ""The measure of any society is how it treats its women and girls."" - Former First Lady Michelle Obama #InternationalWomensDay…",
michelle obama,"RT @BlckBolex: In a world where Beyonce, Michelle Obama, Viola Davis, Rita Moreno, Judge Sotomayor, Maxine Waters, and Ava DuVernay exist t…",
michelle obama,RT @EvelynWhiteGOP: Michelle Obama Has Just Received Very Bad News https://t.co/zJVgxqyWlA https://t.co/37tLsSXwn1,http://MAGA.TrumpNewss.com/5Au
michelle obama,"RT @TheRoot: ""The measure of any society is how it treats its women and girls."" - Former First Lady Michelle Obama #InternationalWomensDay…",
michelle obama,"RT @PopCrave: Twitter's #SheInspiresMe thread features Malala Yousafzai, Halsey, Lady Gaga, Michelle Obama, &amp; many more strong, smart, &amp; po…",
michelle obama,Michelle obama visited a school in DC. melania is in new york. doing god knows what/ the… https://t.co/6zLNmzKQsW,https://goo.gl/fb/DsWZ6B
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,Michelle Obama Has Just Received Very Bad News https://t.co/AOv35xBMPx https://t.co/1MqjmRU2ms,http://MAGA.TrumpNewss.com/5Av
michelle obama,Michelle Obama Has Just Received Very Bad News https://t.co/ox6n4g0aqU https://t.co/1SYk10VSZL,http://POTUS.TrumpNewss.com/KKm
michelle obama,Michelle Obama Has Just Received Very Bad News https://t.co/zJVgxqyWlA https://t.co/37tLsSXwn1,http://MAGA.TrumpNewss.com/5Au
